ExitTime Beta JobID ParticleID
0.0 -1 1 0
60.645 -1 1 1
49.416000000000004 -1 1 2
50.828 -1 1 3
-4.0 -1 1 4
44.988 -1 1 5
46.353 -1 1 6
68.371 -1 1 7
47.099000000000004 -1 1 8
-9.0 -1 1 9
52.869 -1 1 0
-1.0 -1 1 1
51.905 -1 1 2
53.25 -1 1 3
54.292 -1 1 4
-5.0 -1 1 5
-6.0 -1 1 6
44.676 -1 1 7
48.575 -1 1 8
40.426 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
51.281 -1 1 2
48.996 -1 1 3
51.677 -1 1 4
46.045 -1 1 5
-6.0 -1 1 6
43.050000000000004 -1 1 7
57.114000000000004 -1 1 8
59.756 -1 1 9
54.307 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
48.461 -1 1 3
48.784 -1 1 4
-5.0 -1 1 5
54.123000000000005 -1 1 6
50.552 -1 1 7
42.225 -1 1 8
57.448 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
53.811 -1 1 2
68.357 -1 1 3
50.034 -1 1 4
46.916000000000004 -1 1 5
53.192 -1 1 6
42.076 -1 1 7
-8.0 -1 1 8
43.972 -1 1 9
53.543 -1 1 0
-1.0 -1 1 1
47.568 -1 1 2
-3.0 -1 1 3
54.396 -1 1 4
-5.0 -1 1 5
58.592 -1 1 6
47.876 -1 1 7
43.753 -1 1 8
44.167 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
51.331 -1 1 2
47.189 -1 1 3
74.287 -1 1 4
68.56400000000001 -1 1 5
45.988 -1 1 6
48.068 -1 1 7
49.49 -1 1 8
45.482 -1 1 9
49.884 -1 1 0
50.346000000000004 -1 1 1
-2.0 -1 1 2
53.204 -1 1 3
78.57300000000001 -1 1 4
56.563 -1 1 5
46.599000000000004 -1 1 6
46.693 -1 1 7
-8.0 -1 1 8
49.199 -1 1 9
52.973 -1 1 0
-1.0 -1 1 1
-2.0 -1 1 2
61.987 -1 1 3
-4.0 -1 1 4
55.164 -1 1 5
44.751 -1 1 6
66.908 -1 1 7
44.038000000000004 -1 1 8
44.454 -1 1 9
50.969 -1 1 0
-1.0 -1 1 1
60.249 -1 1 2
54.525 -1 1 3
49.023 -1 1 4
-5.0 -1 1 5
46.134 -1 1 6
-7.0 -1 1 7
58.745000000000005 -1 1 8
40.089 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
53.209 -1 1 2
49.608000000000004 -1 1 3
59.467 -1 1 4
48.95 -1 1 5
50.458 -1 1 6
62.258 -1 1 7
53.548 -1 1 8
41.21 -1 1 9
0.0 -1 1 0
-1.0 -1 1 1
50.585 -1 1 2
63.618 -1 1 3
-4.0 -1 1 4
52.125 -1 1 5
56.992000000000004 -1 1 6
46.782000000000004 -1 1 7
47.289 -1 1 8
41.403 -1 1 9
0.0 -1 1 0
58.863 -1 1 1
61.236000000000004 -1 1 2
46.889 -1 1 3
52.721000000000004 -1 1 4
-5.0 -1 1 5
47.759 -1 1 6
54.361000000000004 -1 1 7
44.475 -1 1 8
45.742000000000004 -1 1 9
0.0 -1 1 0
53.657000000000004 -1 1 1
48.733000000000004 -1 1 2
